,price,user_id,user_session,product_id,has_cart,has_purchase,has_remove,cart_status,price_group
0,1.19,494077766,c99a50e8-2fac-4c4d-89ec-41c05f114554,4958.0,1.0,1.0,0.0,purchase,low
1,1.19,579966747,1512be50-d0fd-4a92-bcd8-3ea3943f2a3b,5629988.0,1.0,0.0,0.0,implicit_abandon,low
2,4.44,576005683,28172809-7e4a-45ce-bab0-5efa90117cd5,5807805.0,1.0,0.0,0.0,implicit_abandon,low
3,0.4,494077766,c99a50e8-2fac-4c4d-89ec-41c05f114554,5335.0,1.0,1.0,0.0,purchase,low
4,2.79,579751441,8de492d7-0937-47ae-be2c-a7615aec2b0d,5755170.0,1.0,0.0,0.0,implicit_abandon,low
5,6.19,579966747,1512be50-d0fd-4a92-bcd8-3ea3943f2a3b,5798929.0,1.0,0.0,0.0,implicit_abandon,low
6,2.86,494077766,c99a50e8-2fac-4c4d-89ec-41c05f114554,5761411.0,1.0,1.0,0.0,purchase,low
7,1.59,348405118,722ffea5-73c0-4924-8e8f-371ff8031af4,5904369.0,1.0,0.0,0.0,implicit_abandon,low
8,15.38,546170008,676d9fcc-2a4f-4448-b49d-136f2e4208c1,5600449.0,1.0,0.0,0.0,implicit_abandon,low
9,3.43,494077766,c99a50e8-2fac-4c4d-89ec-41c05f114554,5666749.0,1.0,1.0,0.0,purchase,low
10,1.71,546170008,676d9fcc-2a4f-4448-b49d-136f2e4208c1,5862564.0,1.0,0.0,0.0,implicit_abandon,low
11,10.95,556579890,1d94a188-7fa5-4c52-a9fc-99abf8b4838f,5795703.0,1.0,0.0,0.0,implicit_abandon,low
12,0.4,576802932,51d85cb0-897f-48d2-918b-ad63965c12dc,5700046.0,1.0,0.0,0.0,implicit_abandon,low
13,1.43,494077766,c99a50e8-2fac-4c4d-89ec-41c05f114554,5810157.0,1.0,1.0,0.0,purchase,low
14,0.79,348405118,722ffea5-73c0-4924-8e8f-371ff8031af4,5862313.0,1.0,0.0,0.0,implicit_abandon,low
15,3.97,579966747,1512be50-d0fd-4a92-bcd8-3ea3943f2a3b,5798924.0,1.0,0.0,0.0,implicit_abandon,low
16,0.6,579751441,8de492d7-0937-47ae-be2c-a7615aec2b0d,5693501.0,1.0,0.0,1.0,explicit_abandon,low
17,0.63,579297642,b4a9e242-2322-453a-a0f3-f8217f17ae37,5860196.0,1.0,0.0,0.0,implicit_abandon,low
18,0.63,494077766,c99a50e8-2fac-4c4d-89ec-41c05f114554,5826809.0,1.0,1.0,0.0,purchase,low
19,1.59,348405118,722ffea5-73c0-4924-8e8f-371ff8031af4,5904747.0,1.0,0.0,0.0,implicit_abandon,low
20,0.83,579751441,8de492d7-0937-47ae-be2c-a7615aec2b0d,5744424.0,1.0,0.0,0.0,implicit_abandon,low
21,1.9,494077766,c99a50e8-2fac-4c4d-89ec-41c05f114554,5742717.0,1.0,1.0,0.0,purchase,low
22,0.83,579751441,8de492d7-0937-47ae-be2c-a7615aec2b0d,5744425.0,1.0,0.0,0.0,implicit_abandon,low
23,4.46,579950721,f39acf4b-11d5-479d-84a7-04f5bc6255ce,5899853.0,1.0,1.0,1.0,purchase,low
24,0.79,566276261,8924e013-a5be-4c34-952e-c5559f179a8d,5844670.0,1.0,0.0,0.0,implicit_abandon,low
25,1.59,348405118,722ffea5-73c0-4924-8e8f-371ff8031af4,5904253.0,1.0,0.0,0.0,implicit_abandon,low
26,1.06,579966747,1512be50-d0fd-4a92-bcd8-3ea3943f2a3b,5848387.0,1.0,0.0,0.0,implicit_abandon,low
27,0.98,579751441,8de492d7-0937-47ae-be2c-a7615aec2b0d,5818467.0,1.0,0.0,0.0,implicit_abandon,low
28,29.05,412120092,8adff31e-2051-4894-9758-224bfa8aec18,3978.0,1.0,1.0,0.0,purchase,mid
29,3.02,538507783,177b9f5a-9ef3-4e11-b31e-6efd86a9bff2,5809616.0,1.0,0.0,0.0,implicit_abandon,low
30,0.98,579751441,8de492d7-0937-47ae-be2c-a7615aec2b0d,5818473.0,1.0,0.0,0.0,implicit_abandon,low
31,1.43,579966747,1512be50-d0fd-4a92-bcd8-3ea3943f2a3b,5655060.0,1.0,0.0,0.0,implicit_abandon,low
32,6.19,579950721,f39acf4b-11d5-479d-84a7-04f5bc6255ce,5754991.0,1.0,1.0,0.0,purchase,low
33,5.24,492321842,d1d89629-a5f8-4aab-b42e-e8c30756396f,5816169.0,1.0,0.0,0.0,implicit_abandon,low
34,0.98,579751441,8de492d7-0937-47ae-be2c-a7615aec2b0d,5818477.0,1.0,0.0,0.0,implicit_abandon,low
35,2.19,556730134,c07124c4-f465-4ab3-b1ab-2ab44c84fb1b,5550690.0,1.0,0.0,0.0,implicit_abandon,low
36,0.98,579751441,8de492d7-0937-47ae-be2c-a7615aec2b0d,5818468.0,1.0,0.0,0.0,implicit_abandon,low
37,1.59,348405118,722ffea5-73c0-4924-8e8f-371ff8031af4,5904271.0,1.0,0.0,0.0,implicit_abandon,low
38,1.19,579751441,8de492d7-0937-47ae-be2c-a7615aec2b0d,5808174.0,1.0,0.0,0.0,implicit_abandon,low
39,0.79,578006085,b6f419f7-acde-4223-97f9-2965591e5ee0,5900616.0,1.0,0.0,0.0,implicit_abandon,low
40,7.46,566276261,8924e013-a5be-4c34-952e-c5559f179a8d,5855089.0,1.0,0.0,0.0,implicit_abandon,low
41,4.76,426074808,6a8f23be-58dc-49e1-bf2b-fda259083980,5722502.0,1.0,0.0,0.0,implicit_abandon,low
42,1.59,348405118,722ffea5-73c0-4924-8e8f-371ff8031af4,5904256.0,1.0,0.0,0.0,implicit_abandon,low
43,0.57,494077766,c99a50e8-2fac-4c4d-89ec-41c05f114554,5799881.0,1.0,1.0,0.0,purchase,low
44,1.59,348405118,722ffea5-73c0-4924-8e8f-371ff8031af4,5904251.0,1.0,0.0,0.0,implicit_abandon,low
45,0.54,494077766,c99a50e8-2fac-4c4d-89ec-41c05f114554,5747361.0,1.0,1.0,0.0,purchase,low
46,1.59,348405118,722ffea5-73c0-4924-8e8f-371ff8031af4,5903972.0,1.0,0.0,0.0,implicit_abandon,low
47,5.24,494077766,c99a50e8-2fac-4c4d-89ec-41c05f114554,6537.0,1.0,0.0,1.0,explicit_abandon,low
48,3.97,579950721,f39acf4b-11d5-479d-84a7-04f5bc6255ce,5804463.0,1.0,0.0,1.0,explicit_abandon,low
49,7.46,566276261,8924e013-a5be-4c34-952e-c5559f179a8d,5816574.0,1.0,0.0,0.0,implicit_abandon,low
50,2.37,422556892,5a3c075d-d874-40f8-bab1-6936925a881a,5839650.0,1.0,0.0,0.0,implicit_abandon,low
51,0.54,494077766,c99a50e8-2fac-4c4d-89ec-41c05f114554,5747357.0,1.0,1.0,0.0,purchase,low
52,6.27,492321842,d1d89629-a5f8-4aab-b42e-e8c30756396f,5814046.0,1.0,0.0,0.0,implicit_abandon,low
53,2.37,422556892,5a3c075d-d874-40f8-bab1-6936925a881a,5839652.0,1.0,0.0,0.0,implicit_abandon,low
54,5.54,567694424,0f6605e0-3b3b-417f-bf70-1aab52b89c98,5879293.0,1.0,0.0,0.0,implicit_abandon,low
55,0.95,579966747,1512be50-d0fd-4a92-bcd8-3ea3943f2a3b,5717245.0,1.0,0.0,0.0,implicit_abandon,low
56,2.37,422556892,5a3c075d-d874-40f8-bab1-6936925a881a,5839656.0,1.0,0.0,0.0,implicit_abandon,low
57,5.54,567694424,0f6605e0-3b3b-417f-bf70-1aab52b89c98,5871014.0,1.0,0.0,0.0,implicit_abandon,low
58,3.17,494077766,c99a50e8-2fac-4c4d-89ec-41c05f114554,5882781.0,1.0,0.0,1.0,explicit_abandon,low
59,1.59,348405118,722ffea5-73c0-4924-8e8f-371ff8031af4,5903984.0,1.0,0.0,0.0,implicit_abandon,low
60,0.79,578006085,b6f419f7-acde-4223-97f9-2965591e5ee0,5862943.0,1.0,0.0,0.0,implicit_abandon,low
61,0.79,578006085,b6f419f7-acde-4223-97f9-2965591e5ee0,5862936.0,1.0,0.0,0.0,implicit_abandon,low
62,7.71,541389420,08c3dcb0-c851-4d09-a472-49c3b6b99099,5843750.0,1.0,0.0,1.0,explicit_abandon,low
63,11.03,566276261,8924e013-a5be-4c34-952e-c5559f179a8d,5813496.0,1.0,0.0,0.0,implicit_abandon,low
64,2.86,494077766,c99a50e8-2fac-4c4d-89ec-41c05f114554,5865799.0,1.0,1.0,0.0,purchase,low
65,11.03,566276261,8924e013-a5be-4c34-952e-c5559f179a8d,5813494.0,1.0,0.0,0.0,implicit_abandon,low
66,2.37,422556892,5a3c075d-d874-40f8-bab1-6936925a881a,5859407.0,1.0,0.0,0.0,implicit_abandon,low
67,3.17,494077766,c99a50e8-2fac-4c4d-89ec-41c05f114554,5840113.0,1.0,1.0,0.0,purchase,low
68,5.54,567694424,0f6605e0-3b3b-417f-bf70-1aab52b89c98,5867992.0,1.0,0.0,0.0,implicit_abandon,low
69,3.02,556730134,65012fff-e789-404f-b972-d8c780a2534d,5687123.0,1.0,0.0,0.0,implicit_abandon,low
70,4.27,494077766,c99a50e8-2fac-4c4d-89ec-41c05f114554,5649107.0,1.0,1.0,0.0,purchase,low
71,4.27,494077766,c99a50e8-2fac-4c4d-89ec-41c05f114554,5649154.0,1.0,1.0,0.0,purchase,low
72,9.21,566276261,8924e013-a5be-4c34-952e-c5559f179a8d,5800968.0,1.0,0.0,0.0,implicit_abandon,low
73,0.79,579966747,1512be50-d0fd-4a92-bcd8-3ea3943f2a3b,5687131.0,1.0,0.0,0.0,implicit_abandon,low
74,6.35,494077766,c99a50e8-2fac-4c4d-89ec-41c05f114554,5801327.0,1.0,1.0,0.0,purchase,low
75,1.43,548228624,fee180cf-12be-4034-bb66-248c54210cf3,5900351.0,1.0,0.0,0.0,implicit_abandon,low
76,4.92,513026898,2b88b00a-892a-4639-bce4-1ea17a7d6221,4645.0,1.0,0.0,1.0,explicit_abandon,low
77,2.37,422556892,5a3c075d-d874-40f8-bab1-6936925a881a,5853695.0,1.0,0.0,0.0,implicit_abandon,low
78,5.56,494077766,c99a50e8-2fac-4c4d-89ec-41c05f114554,5808300.0,1.0,1.0,0.0,purchase,low
79,2.37,422556892,5a3c075d-d874-40f8-bab1-6936925a881a,5859419.0,1.0,0.0,0.0,implicit_abandon,low
80,1.43,548228624,fee180cf-12be-4034-bb66-248c54210cf3,5862274.0,1.0,0.0,0.0,implicit_abandon,low
81,4.92,513026898,2b88b00a-892a-4639-bce4-1ea17a7d6221,4751.0,1.0,0.0,1.0,explicit_abandon,low
82,2.37,422556892,5a3c075d-d874-40f8-bab1-6936925a881a,5853696.0,1.0,0.0,0.0,implicit_abandon,low
83,5.71,494077766,c99a50e8-2fac-4c4d-89ec-41c05f114554,5801308.0,1.0,1.0,0.0,purchase,low
84,4.44,560109803,38cf4ba1-4a0a-4c9e-b870-46685d105f95,5838938.0,1.0,0.0,0.0,implicit_abandon,low
85,2.37,422556892,5a3c075d-d874-40f8-bab1-6936925a881a,5853697.0,1.0,0.0,0.0,implicit_abandon,low
